import time: self [us] | cumulative | imported package
import time:       206 |        206 |                 rich.progress_bar
import time:       183 |        183 |                   rich._spinners
import time:       192 |        374 |                 rich.spinner
import time:      1119 |       2955 |               rich.progress
import time:       157 |        157 |                   pygments.filter
import time:       705 |        705 |                     pygments.token
import time:       350 |       1054 |                   pygments.filters
import time:       215 |        215 |                   pygments.regexopt
import time:       401 |       1826 |                 pygments.lexer
import time:       242 |        242 |                 pygments.style
import time:       235 |        235 |                   pygments.styles._mapping
import time:       201 |        436 |                 pygments.styles
import time:       587 |       3090 |               rich.syntax
import time:       407 |      45032 |             httpx._main
import time:       295 |      62631 |           httpx
import time:       256 |        256 |             oauthlib
import time:       336 |        336 |                       oauthlib.common
import time:       145 |        145 |                       oauthlib.oauth2.rfc6749.utils
import time:       405 |        405 |                         oauthlib.oauth2.rfc6749.errors
import time:       163 |        568 |                       oauthlib.oauth2.rfc6749.endpoints.base
import time:       226 |       1273 |                     oauthlib.oauth2.rfc6749.endpoints.authorization
import time:       183 |        183 |                     oauthlib.oauth2.rfc6749.endpoints.introspect
import time:       151 |        151 |                             oauthlib.uri_validate
import time:       174 |        174 |                             oauthlib.oauth2.rfc6749.request_validator
import time:       192 |        516 |                           oauthlib.oauth2.rfc6749.grant_types.base
import time:       248 |        763 |                         oauthlib.oauth2.rfc6749.grant_types.authorization_code
import time:       159 |        159 |                         oauthlib.oauth2.rfc6749.grant_types.client_credentials
import time:       151 |        151 |                         oauthlib.oauth2.rfc6749.grant_types.implicit
import time:       159 |        159 |                         oauthlib.oauth2.rfc6749.grant_types.refresh_token
import time:       155 |        155 |                         oauthlib.oauth2.rfc6749.grant_types.resource_owner_password_credentials
import time:       159 |       1544 |                       oauthlib.oauth2.rfc6749.grant_types
import time:       144 |        144 |                       oauthlib.oauth2.rfc6749.endpoints.revocation
import time:       166 |        166 |                       oauthlib.oauth2.rfc6749.endpoints.token
import time:       265 |       2118 |                     oauthlib.oauth2.rfc6749.endpoints.metadata
import time:       201 |        201 |                       oauthlib.oauth2.rfc6749.tokens
import time:       149 |        149 |                       oauthlib.oauth2.rfc6749.endpoints.resource
import time:       382 |        382 |                           oauthlib.oauth2.rfc8628.errors
import time:       149 |        531 |                         oauthlib.oauth2.rfc8628
import time:       223 |        223 |                         oauthlib.oauth2.rfc8628.grant_types.device_code
import time:       186 |        939 |                       oauthlib.oauth2.rfc8628.grant_types
import time:       221 |       1509 |                     oauthlib.oauth2.rfc6749.endpoints.pre_configured
import time:       208 |       5289 |                   oauthlib.oauth2.rfc6749.endpoints
import time:        12 |       5301 |                 oauthlib.oauth2.rfc6749.endpoints.base
import time:       212 |       5512 |               oauthlib.oauth2.rfc6749
import time:        90 |         90 |                     blinker
import time:       146 |        236 |                   oauthlib.signals
import time:       172 |        407 |                 oauthlib.oauth2.rfc6749.parameters
